,fiscal_year,stock_code,ind_name1,ind_name2,E_proportion,G_proportion,None_proportion,S_proportion
4539,2017,201,非必需性消費,旅遊及休閒設施,0.6137339055793991,0.0472103004291845,0.1545064377682403,0.1845493562231759
4540,2017,1375,金融,其他金融,0.1153846153846153,0.1009615384615384,0.2403846153846154,0.5432692307692307
4541,2017,1110,醫療保健,藥品及生物科技,0.2307692307692307,0.1538461538461538,0.1111111111111111,0.5042735042735043
4542,2017,6826,醫療保健,藥品及生物科技,0.3234042553191489,0.076595744680851,0.1489361702127659,0.451063829787234
4543,2017,3309,醫療保健,醫療保健設備及服務,0.4368932038834951,0.0970873786407767,0.0776699029126213,0.3883495145631068
4544,2017,227,金融,其他金融,0.4212962962962963,0.1018518518518518,0.1296296296296296,0.3472222222222222
4545,2017,2601,金融,保險,0.0829875518672199,0.0560165975103734,0.1141078838174273,0.7468879668049793
4546,2017,1150,非必需性消費,紡織及服飾,0.3846153846153846,0.0615384615384615,0.123076923076923,0.4307692307692308
4547,2017,205,非必需性消費,媒體及娛樂,0.5,0.0384615384615384,0.0256410256410256,0.4358974358974359
4548,2017,694,非必需性消費,旅遊及休閒設施,0.2124105011933174,0.0453460620525059,0.0668257756563245,0.6754176610978521
4549,2017,604,地產建築,地產,0.3379310344827586,0.0655172413793103,0.1241379310344827,0.4724137931034483
4550,2017,865,地產建築,地產,0.509090909090909,0.1272727272727272,0.0545454545454545,0.3090909090909091
4551,2016,3369,工業,工業運輸,0.3081395348837209,0.0290697674418604,0.1569767441860465,0.5058139534883721
4552,2016,1239,工業,工業支援,0.2532467532467532,0.0909090909090909,0.1298701298701298,0.525974025974026
4553,2016,1628,地產建築,地產,0.2851239669421487,0.0743801652892562,0.1942148760330578,0.4462809917355372
4554,2017,6882,非必需性消費,旅遊及休閒設施,0.2432432432432432,0.1441441441441441,0.063063063063063,0.5495495495495496
4555,2016,6128,原材料,一般金屬及礦石,0.3467741935483871,0.0806451612903225,0.1048387096774193,0.4677419354838709
4556,2016,637,原材料,一般金屬及礦石,0.3432835820895522,0.0895522388059701,0.044776119402985,0.5223880597014925
4557,2016,1623,能源,石油及天然氣,0.2912621359223301,0.0679611650485436,0.1844660194174757,0.4563106796116505
4558,2016,921,非必需性消費,家庭電器及用品,0.45,0.09,0.09,0.37
4559,2016,63,地產建築,地產,0.4647887323943662,0.1690140845070422,0.0140845070422535,0.352112676056338
4560,2016,3669,非必需性消費,零售相關,0.2941176470588235,0.1470588235294117,0.088235294117647,0.4705882352941176
4561,2016,1057,非必需性消費,汽車,0.4318181818181818,0.1363636363636363,0.0681818181818181,0.3636363636363636
4562,2016,270,公用事業,公用事業,0.3982683982683982,0.0649350649350649,0.1082251082251082,0.4285714285714285
4563,2016,397,金融,其他金融,0.1791044776119403,0.1791044776119403,0.1044776119402985,0.5373134328358209
4564,2016,2320,原材料,其他原材料,0.4952380952380952,0.0857142857142857,0.0476190476190476,0.3714285714285714
4565,2016,3398,非必需性消費,紡織及服飾,0.3809523809523809,0.0857142857142857,0.0714285714285714,0.4619047619047619
4566,2016,1685,工業,工業工程,0.4698795180722891,0.0542168674698795,0.0662650602409638,0.4096385542168674
4567,2016,110,資訊科技,資訊科技器材,0.3289473684210526,0.1184210526315789,0.0394736842105263,0.5131578947368421
4568,2016,865,地產建築,地產,0.4788732394366197,0.1267605633802817,0.056338028169014,0.3380281690140845
4569,2016,2280,資訊科技,軟件服務,0.2539682539682539,0.0793650793650793,0.1428571428571428,0.5238095238095238
4570,2016,1527,工業,工業工程,0.3203883495145631,0.087378640776699,0.1067961165048543,0.4854368932038835
4571,2016,127,地產建築,地產,0.1701030927835051,0.1030927835051546,0.0927835051546391,0.634020618556701
4572,2016,6122,金融,銀行,0.2771739130434782,0.1576086956521739,0.0869565217391304,0.4782608695652174
4573,2016,1176,地產建築,地產,0.2867132867132867,0.1118881118881118,0.1888111888111888,0.4125874125874126
4574,2016,579,公用事業,公用事業,0.4054982817869416,0.0446735395189003,0.0824742268041237,0.4673539518900343
4575,2016,3608,非必需性消費,紡織及服飾,0.3465346534653465,0.0891089108910891,0.1089108910891089,0.4554455445544554
4576,2016,631,工業,工業工程,0.4370860927152318,0.1324503311258278,0.0927152317880794,0.3377483443708609
4577,2016,94,原材料,其他原材料,0.3526011560693641,0.0982658959537572,0.1329479768786127,0.4161849710982659
4578,2016,1051,金融,其他金融,0.2816901408450704,0.1690140845070422,0.1267605633802817,0.4225352112676056
4579,2016,1918,地產建築,地產,0.3552631578947368,0.0921052631578947,0.0855263157894736,0.4671052631578947
4580,2016,228,能源,石油及天然氣,0.2753623188405797,0.1304347826086956,0.1014492753623188,0.4927536231884058
4581,2016,420,非必需性消費,紡織及服飾,0.4552845528455284,0.065040650406504,0.1097560975609756,0.3699186991869919
4582,2016,1458,必需性消費,食品飲料,0.2605042016806723,0.0448179271708683,0.1120448179271708,0.5826330532212886
