股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
1963,重慶銀行,50,金融,5010,銀行,501010,銀行
1965,朗詩綠色生活,60,地產建築,6010,地產,601050,物業管理及服務
1966,中駿集團控股,60,地產建築,6010,地產,601020,地產發展商
1967,信懇智能,10,工業,1010,工業工程,101020,工業零件及器材
1968,興紡控股,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
1969,中國春來,23,非必需性消費,2360,支援服務,236010,教育
1970,IMAX CHINA,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
1971,弘陽服務,60,地產建築,6010,地產,601050,物業管理及服務
1972,太古地產,60,地產建築,6010,地產,601030,地產投資
1975,新興印刷,10,工業,1030,工業支援,103020,印刷及包裝
1977,安樂工程,60,地產建築,6020,建築,602020,建築及服務
1978,敘福樓集團,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
1979,天寶集團,10,工業,1010,工業工程,101025,電子零件
1980,天鴿互動,70,資訊科技,7020,軟件服務,702030,軟件開發
1981,華夏視聽教育,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
1982,南旋控股,23,非必需性消費,2330,紡織及服飾,233020,服裝
1983,瀘州銀行,50,金融,5010,銀行,501010,銀行
1985,美高域,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
1986,彩客新能源,5,原材料,530,其他原材料,53040,特殊化工用品
1987,BENG SOON MACH,60,地產建築,6020,建築,602030,重型基建
1988,民生銀行,50,金融,5010,銀行,501010,銀行
1989,松齡護老集團,23,非必需性消費,2360,支援服務,236020,其他支援服務
1991,大洋集團,10,工業,1010,工業工程,101020,工業零件及器材
1992,復星旅遊文化,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
1993,雅仕維,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
1995,旭輝永升服務,60,地產建築,6010,地產,601050,物業管理及服務
1996,弘陽地產,60,地產建築,6010,地產,601020,地產發展商
1997,九龍倉置業,60,地產建築,6010,地產,601030,地產投資
