股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
1,長和,80,綜合企業,8000,綜合企業,800010,綜合企業
2,中電控股,40,公用事業,4000,公用事業,400010,電力
3,香港中華煤氣,40,公用事業,4000,公用事業,400020,燃氣
4,九龍倉集團,60,地產建築,6010,地產,601020,地產發展商
5,滙豐控股,50,金融,5010,銀行,501010,銀行
6,電能實業,40,公用事業,4000,公用事業,400010,電力
7,智富資源投資,60,地產建築,6010,地產,601030,地產投資
8,電訊盈科,35,電訊,3500,電訊,350020,電訊服務
9,金奧國際,60,地產建築,6010,地產,601020,地產發展商
10,恒隆集團,60,地產建築,6010,地產,601030,地產投資
11,恒生銀行,50,金融,5010,銀行,501010,銀行
12,恒基地產,60,地產建築,6010,地產,601020,地產發展商
13,和黃醫藥,28,醫療保健,2810,藥品及生物科技,281010,藥品
14,希慎興業,60,地產建築,6010,地產,601030,地產投資
16,新鴻基地產,60,地產建築,6010,地產,601020,地產發展商
17,新世界發展,60,地產建築,6010,地產,601020,地產發展商
18,東方企控集團,23,非必需性消費,2350,媒體及娛樂,235040,出版
19,太古股份公司A,80,綜合企業,8000,綜合企業,800010,綜合企業
20,商湯-W,70,資訊科技,7020,軟件服務,702030,軟件開發
21,大中華控股,60,地產建築,6010,地產,601020,地產發展商
22,茂盛控股,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
23,東亞銀行,50,金融,5010,銀行,501010,銀行
25,其士國際,80,綜合企業,8000,綜合企業,800010,綜合企業
26,中華汽車,60,地產建築,6010,地產,601030,地產投資
27,銀河娛樂,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
28,天安,60,地產建築,6010,地產,601020,地產發展商
29,達力集團,60,地產建築,6010,地產,601030,地產投資
30,萬隆控股集團,25,必需性消費,2510,食品飲料,251050,食品添加劑
31,航天科技,10,工業,1010,工業工程,101060,航空、航天及國防
32,港通控股,23,非必需性消費,2360,支援服務,236010,教育
33,INTL GENIUS,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
34,九龍建業,60,地產建築,6010,地產,601020,地產發展商
35,遠東發展,60,地產建築,6010,地產,601020,地產發展商
36,遠東控股國際,60,地產建築,6010,地產,601030,地產投資
37,遠東酒店實業,60,地產建築,6010,地產,601030,地產投資
38,第一拖拉機,10,工業,1010,工業工程,101040,重型機械
39,中國北大荒,25,必需性消費,2530,消費零售,253010,超市及便利店
40,金山科技工業,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
41,鷹君,60,地產建築,6010,地產,601030,地產投資
42,東北電氣,10,工業,1010,工業工程,101020,工業零件及器材
45,大酒店,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
46,科聯系統,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
48,中國汽車內飾,23,非必需性消費,2310,汽車,231020,汽車零件
50,香港小輪,60,地產建築,6010,地產,601020,地產發展商
51,海港企業,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
52,大快活集團,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
53,國浩集團,60,地產建築,6010,地產,601020,地產發展商
55,中星集團控股,10,工業,1030,工業支援,103020,印刷及包裝
57,震雄集團,10,工業,1010,工業工程,101020,工業零件及器材
58,新威國際,60,地產建築,6020,建築,602010,建築材料
59,天譽置業,60,地產建築,6010,地產,601020,地產發展商
60,香港食品投資,25,必需性消費,2510,食品飲料,251010,包裝食品
61,綠領控股,0,能源,20,煤炭,2010,煤炭
62,載通,23,非必需性消費,2340,旅遊及休閒設施,234010,公共運輸
63,中亞烯谷集團,60,地產建築,6010,地產,601030,地產投資
64,結好控股,50,金融,5030,其他金融,503010,證券及經紀
65,弘海高新資源,0,能源,20,煤炭,2010,煤炭
66,港鐵公司,23,非必需性消費,2340,旅遊及休閒設施,234010,公共運輸
69,香格里拉,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
70,金粵控股,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
71,美麗華,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
72,超媒體控股,23,非必需性消費,2350,媒體及娛樂,235040,出版
73,亞洲果業,25,必需性消費,2520,農產品,252020,農產品相關
75,渝太地產,60,地產建築,6010,地產,601030,地產投資
76,誼礫控股,10,工業,1010,工業工程,101020,工業零件及器材
77,進智公共交通,23,非必需性消費,2340,旅遊及休閒設施,234010,公共運輸
78,富豪國際,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
79,世紀建業,23,非必需性消費,2360,支援服務,236020,其他支援服務
80,中國新經濟投資,50,金融,5030,其他金融,503020,資產管理
81,中國海外宏洋,60,地產建築,6010,地產,601020,地產發展商
82,瘋狂體育,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
83,信和置業,60,地產建築,6010,地產,601030,地產投資
84,寶光實業,23,非必需性消費,2370,零售相關,237050,其他零售
85,中電華大科技,70,資訊科技,7030,半導體,703010,半導體
86,新鴻基公司,50,金融,5030,其他金融,503030,信貸
87,太古股份公司B,80,綜合企業,8000,綜合企業,800010,綜合企業
88,大昌集團,60,地產建築,6010,地產,601020,地產發展商
89,大生地產,60,地產建築,6010,地產,601030,地產投資
90,普星能量,40,公用事業,4000,公用事業,400040,環保能源
91,金禧國際控股,0,能源,10,石油及天然氣,1010,油氣生產商
92,冠軍科技集團,0,能源,10,石油及天然氣,1010,油氣生產商
93,TERMBRAY IND,60,地產建築,6010,地產,601030,地產投資
94,綠心集團,5,原材料,530,其他原材料,53020,林業及木材
95,綠景中國地產,60,地產建築,6010,地產,601020,地產發展商
96,友成控股,10,工業,1010,工業工程,101020,工業零件及器材
97,恒基發展,23,非必需性消費,2370,零售相關,237050,其他零售
98,興發鋁業,5,原材料,520,一般金屬及礦石,52030,鋁
99,王氏國際,10,工業,1010,工業工程,101025,電子零件
101,恒隆地產,60,地產建築,6010,地產,601030,地產投資
102,凱升控股,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
103,首佳科技,10,工業,1010,工業工程,101010,商用車及貨車
104,冠亞商業集團,23,非必需性消費,2370,零售相關,237050,其他零售
105,凱聯國際酒店,60,地產建築,6010,地產,601030,地產投資
106,朗詩綠色管理,60,地產建築,6010,地產,601020,地產發展商
107,四川成渝高速,10,工業,1020,工業運輸,102020,鐵路及公路
108,國銳地產,60,地產建築,6010,地產,601050,物業管理及服務
110,中國長遠,70,資訊科技,7010,資訊科技器材,701010,電訊設備
111,信達國際控股,50,金融,5030,其他金融,503020,資產管理
113,迪生創建,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
114,興利集團,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
115,鈞濠集團,60,地產建築,6010,地產,601020,地產發展商
116,周生生,23,非必需性消費,2370,零售相關,237050,其他零售
117,天利控股集團,10,工業,1010,工業工程,101020,工業零件及器材
118,大同機械,10,工業,1010,工業工程,101020,工業零件及器材
119,保利置業集團,60,地產建築,6010,地產,601020,地產發展商
120,四海國際,60,地產建築,6010,地產,601020,地產發展商
122,鱷魚恤,23,非必需性消費,2330,紡織及服飾,233020,服裝
123,越秀地產,60,地產建築,6010,地產,601020,地產發展商
124,粵海置地,60,地產建築,6010,地產,601020,地產發展商
125,新興光學,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
126,佳寧娜,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
127,華人置業,60,地產建築,6010,地產,601030,地產投資
128,安寧控股,23,非必需性消費,2370,零售相關,237020,服裝零售
129,泛海國際,50,金融,5030,其他金融,503020,資產管理
130,慕詩國際,23,非必需性消費,2330,紡織及服飾,233020,服裝
131,卓能集團,60,地產建築,6010,地產,601020,地產發展商
132,中國興業,80,綜合企業,8000,綜合企業,800010,綜合企業
135,昆侖能源,40,公用事業,4000,公用事業,400020,燃氣
136,中國儒意,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
137,金輝集團,10,工業,1020,工業運輸,102010,航運及港口
138,中建富通,23,非必需性消費,2370,零售相關,237010,汽車零售
139,中達集團控股,50,金融,5030,其他金融,503010,證券及經紀
141,天禧海嘉控股,60,地產建築,6010,地產,601030,地產投資
142,第一太平,25,必需性消費,2510,食品飲料,251010,包裝食品
144,招商局港口,10,工業,1020,工業運輸,102010,航運及港口
145,信能低碳,23,非必需性消費,2360,支援服務,236020,其他支援服務
146,太平地氈,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
147,國際商業結算,60,地產建築,6010,地產,601020,地產發展商
148,建滔集團,10,工業,1010,工業工程,101020,工業零件及器材
149,中國農產品交易,60,地產建築,6010,地產,601020,地產發展商
150,HYPEBEAST,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
151,中國旺旺,25,必需性消費,2510,食品飲料,251010,包裝食品
152,深圳國際,10,工業,1020,工業運輸,102020,鐵路及公路
154,北京控股環境集團,10,工業,1010,工業工程,101030,環保工程
156,力寶華潤,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
157,自然美,23,非必需性消費,2370,零售相關,237050,其他零售
158,萬邦投資,60,地產建築,6010,地產,601030,地產投資
159,布萊克萬礦業,5,原材料,520,一般金屬及礦石,52010,鋼鐵
160,漢國置業,60,地產建築,6010,地產,601030,地產投資
162,世紀金花,23,非必需性消費,2370,零售相關,237040,多元化零售
163,英皇國際,60,地產建築,6010,地產,601030,地產投資
164,中國寶力科技,70,資訊科技,7010,資訊科技器材,701010,電訊設備
165,中國光大控股,50,金融,5030,其他金融,503020,資產管理
166,新時代能源,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
167,萬威國際,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
168,青島啤酒,25,必需性消費,2510,食品飲料,251040,酒料飲料
169,萬達酒店發展,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
171,銀建國際,60,地產建築,6010,地產,601030,地產投資
173,嘉華國際,60,地產建築,6010,地產,601020,地產發展商
174,盛洋投資,50,金融,5030,其他金融,503020,資產管理
175,吉利汽車,23,非必需性消費,2310,汽車,231010,汽車
176,先機企業集團,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
177,江蘇寧滬高速,10,工業,1020,工業運輸,102020,鐵路及公路
178,莎莎國際,23,非必需性消費,2370,零售相關,237050,其他零售
179,德昌電機,23,非必需性消費,2310,汽車,231020,汽車零件
180,開達集團,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
181,閩港控股,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
182,協合新能源,40,公用事業,4000,公用事業,400040,環保能源
183,宏輝集團,60,地產建築,6010,地產,601020,地產發展商
184,激成投資,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
185,正商實業,60,地產建築,6010,地產,601020,地產發展商
186,敏捷控股,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
187,京城機電股份,10,工業,1010,工業工程,101020,工業零件及器材
188,新華匯富金融,50,金融,5030,其他金融,503040,其他金融
189,東岳集團,5,原材料,530,其他原材料,53040,特殊化工用品
191,麗新國際,80,綜合企業,8000,綜合企業,800010,綜合企業
193,冠中地產,60,地產建築,6010,地產,601020,地產發展商
194,廖創興企業,60,地產建築,6010,地產,601020,地產發展商
195,綠科科技國際,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
196,宏華集團,0,能源,10,石油及天然氣,1020,油氣設備與服務
197,亨泰,25,必需性消費,2510,食品飲料,251010,包裝食品
199,德祥地產,60,地產建築,6010,地產,601020,地產發展商
200,新濠國際,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
201,華大酒店,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
202,潤中國際控股,80,綜合企業,8000,綜合企業,800010,綜合企業
204,中國投資開發,50,金融,5030,其他金融,503020,資產管理
205,財訊傳媒,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
206,華商國際海洋控股,0,能源,10,石油及天然氣,1020,油氣設備與服務
207,大悅城地產,60,地產建築,6010,地產,601030,地產投資
209,瀛晟科學,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
210,達芙妮國際,23,非必需性消費,2330,紡織及服飾,233030,鞋履
211,大凌集團,50,金融,5030,其他金融,503010,證券及經紀
212,南洋集團,60,地產建築,6010,地產,601030,地產投資
213,樂聲電子,10,工業,1010,工業工程,101020,工業零件及器材
214,滙漢控股,50,金融,5030,其他金融,503020,資產管理
215,和記電訊香港,35,電訊,3500,電訊,350020,電訊服務
216,建業實業,60,地產建築,6010,地產,601020,地產發展商
217,中國誠通,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
218,申萬宏源香港,50,金融,5030,其他金融,503010,證券及經紀
219,順豪物業,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
220,統一企業中國,25,必需性消費,2510,食品飲料,251030,非酒精飲料
222,閩信集團,50,金融,5020,保險,502010,保險
223,易生活控股,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
224,建生國際,60,地產建築,6010,地產,601030,地產投資
225,博富臨,60,地產建築,6010,地產,601030,地產投資
226,力寶,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
227,第一上海,50,金融,5030,其他金融,503010,證券及經紀
228,中能控股,0,能源,10,石油及天然氣,1010,油氣生產商
229,利民實業,23,非必需性消費,2320,家庭電器及用品,232010,家庭電器
230,五礦地產,60,地產建築,6010,地產,601020,地產發展商
232,大陸航空科技控股,10,工業,1010,工業工程,101060,航空、航天及國防
234,新世紀集團,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
235,中策資本控股,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
236,香港生力啤酒,25,必需性消費,2510,食品飲料,251040,酒料飲料
237,安全貨倉,60,地產建築,6010,地產,601030,地產投資
239,白花油,28,醫療保健,2810,藥品及生物科技,281010,藥品
240,利基控股,60,地產建築,6020,建築,602030,重型基建
241,阿里健康,28,醫療保健,2810,藥品及生物科技,281010,藥品
242,信德集團,80,綜合企業,8000,綜合企業,800010,綜合企業
243,品質國際,70,資訊科技,7030,半導體,703010,半導體
244,先施,23,非必需性消費,2370,零售相關,237040,多元化零售
245,中薇金融,50,金融,5030,其他金融,503010,證券及經紀
247,尖沙咀置業,60,地產建築,6010,地產,601030,地產投資
248,香港通訊,70,資訊科技,7010,資訊科技器材,701010,電訊設備
250,中國數碼信息,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
251,爪哇控股,60,地產建築,6010,地產,601030,地產投資
252,華信地產,10,工業,1030,工業支援,103020,印刷及包裝
253,順豪控股,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
254,國家聯合資源,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
255,龍記集團,10,工業,1010,工業工程,101020,工業零件及器材
256,冠城鐘錶珠寶,23,非必需性消費,2330,紡織及服飾,233040,珠寶鐘錶
257,光大環境,40,公用事業,4000,公用事業,400040,環保能源
258,湯臣集團,60,地產建築,6010,地產,601020,地產發展商
259,億都國際,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
260,幸福控股,50,金融,5030,其他金融,503030,信貸
261,GBA集團,60,地產建築,6010,地產,601020,地產發展商
262,迪臣發展,60,地產建築,6010,地產,601020,地產發展商
264,中聯發展控股,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
265,東勝智慧城市服務,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
266,天德地產,60,地產建築,6010,地產,601030,地產投資
267,中信股份,80,綜合企業,8000,綜合企業,800010,綜合企業
268,金蝶國際,70,資訊科技,7020,軟件服務,702030,軟件開發
269,中國資源交通,10,工業,1020,工業運輸,102020,鐵路及公路
270,粵海投資,40,公用事業,4000,公用事業,400030,水務
271,亞證地產,60,地產建築,6010,地產,601030,地產投資
272,瑞安房地產,60,地產建築,6010,地產,601020,地產發展商
273,茂宸集團,23,非必需性消費,2370,零售相關,237050,其他零售
274,復興亞洲,5,原材料,510,黃金及貴金屬,51010,黃金及貴金屬
276,蒙古能源,0,能源,20,煤炭,2010,煤炭
277,太興置業,60,地產建築,6010,地產,601030,地產投資
278,華廈置業,60,地產建築,6010,地產,601030,地產投資
279,裕承科金,50,金融,5030,其他金融,503010,證券及經紀
280,景福集團,23,非必需性消費,2330,紡織及服飾,233040,珠寶鐘錶
285,比亞迪電子,70,資訊科技,7010,資訊科技器材,701010,電訊設備
286,愛帝宮,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
287,永發置業,60,地產建築,6010,地產,601030,地產投資
288,萬洲國際,25,必需性消費,2520,農產品,252010,禽畜肉類
289,永安公司,23,非必需性消費,2370,零售相關,237040,多元化零售
290,國富創新,50,金融,5030,其他金融,503010,證券及經紀
291,華潤啤酒,25,必需性消費,2510,食品飲料,251040,酒料飲料
292,泛海酒店,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
293,國泰航空,23,非必需性消費,2340,旅遊及休閒設施,234020,航空相關
294,長江製衣,23,非必需性消費,2330,紡織及服飾,233020,服裝
295,江山控股,40,公用事業,4000,公用事業,400040,環保能源
296,英皇娛樂酒店,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
297,中化化肥,5,原材料,530,其他原材料,53010,化肥及農用化合物
298,莊士中國,60,地產建築,6010,地產,601020,地產發展商
299,寶新置地,60,地產建築,6010,地產,601020,地產發展商
301,三和精化,5,原材料,530,其他原材料,53040,特殊化工用品
302,中手游,70,資訊科技,7020,軟件服務,702030,軟件開發
303,偉易達,70,資訊科技,7010,資訊科技器材,701010,電訊設備
305,五菱汽車,23,非必需性消費,2310,汽車,231020,汽車零件
306,冠忠巴士,23,非必需性消費,2340,旅遊及休閒設施,234010,公共運輸
308,香港中旅,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
309,新華通訊頻媒,23,非必需性消費,2360,支援服務,236020,其他支援服務
310,嘉進投資,50,金融,5030,其他金融,503020,資產管理
311,聯泰控股,23,非必需性消費,2330,紡織及服飾,233020,服裝
312,歲寶百貨,23,非必需性消費,2370,零售相關,237040,多元化零售
313,裕田中國,60,地產建築,6010,地產,601020,地產發展商
314,思派健康,28,醫療保健,2810,藥品及生物科技,281010,藥品
315,數碼通,35,電訊,3500,電訊,350020,電訊服務
316,東方海外,10,工業,1020,工業運輸,102010,航運及港口
317,中船防務,10,工業,1010,工業工程,101010,商用車及貨車
318,黃河實業,80,綜合企業,8000,綜合企業,800010,綜合企業
320,金寶通,10,工業,1010,工業工程,101020,工業零件及器材
321,德永佳,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
322,康師傅,25,必需性消費,2510,食品飲料,251030,非酒精飲料
323,馬鞍山鋼鐵,5,原材料,520,一般金屬及礦石,52010,鋼鐵
326,中國星,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
327,百富環球,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
328,愛高集團,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
329,叁龍國際,50,金融,5030,其他金融,503010,證券及經紀
330,思捷環球,23,非必需性消費,2330,紡織及服飾,233020,服裝
331,豐盛生活服務,60,地產建築,6020,建築,602020,建築及服務
332,元亨燃氣,0,能源,10,石油及天然氣,1010,油氣生產商
333,黛麗斯,23,非必需性消費,2330,紡織及服飾,233020,服裝
334,華顯光電,70,資訊科技,7010,資訊科技器材,701020,電腦及周邊
335,美建集團,50,金融,5030,其他金融,503030,信貸
336,華寶國際,25,必需性消費,2510,食品飲料,251050,食品添加劑
337,綠地香港,60,地產建築,6010,地產,601020,地產發展商
338,上海石油化工,5,原材料,530,其他原材料,53040,特殊化工用品
339,核心經濟投資,50,金融,5030,其他金融,503020,資產管理
340,潼關黃金,5,原材料,510,黃金及貴金屬,51010,黃金及貴金屬
341,大家樂,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
342,新海能源,0,能源,10,石油及天然氣,1010,油氣生產商
343,文化傳信,23,非必需性消費,2350,媒體及娛樂,235040,出版
345,維他奶國際,25,必需性消費,2510,食品飲料,251030,非酒精飲料
346,延長石油國際,0,能源,10,石油及天然氣,1010,油氣生產商
347,鞍鋼股份,5,原材料,520,一般金屬及礦石,52010,鋼鐵
348,中國智能健康,28,醫療保健,2810,藥品及生物科技,281030,中醫藥
351,亞洲能源物流,10,工業,1020,工業運輸,102010,航運及港口
352,富陽,60,地產建築,6010,地產,601010,地產代理
353,能源國際投資,0,能源,10,石油及天然氣,1020,油氣設備與服務
354,中國軟件國際,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
355,世紀城市,23,非必需性消費,2340,旅遊及休閒設施,234040,酒店及度假村
356,鼎立資本,50,金融,5030,其他金融,503020,資產管理
357,美蘭空港,23,非必需性消費,2340,旅遊及休閒設施,234020,航空相關
358,江西銅業,5,原材料,520,一般金屬及礦石,52020,銅
359,海升果汁,25,必需性消費,2510,食品飲料,251030,非酒精飲料
360,新焦點,23,非必需性消費,2310,汽車,231020,汽車零件
361,順龍控股,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
362,中國天化工,5,原材料,530,其他原材料,53040,特殊化工用品
363,上海實業,80,綜合企業,8000,綜合企業,800010,綜合企業
365,芯成科技,10,工業,1010,工業工程,101020,工業零件及器材
366,陸氏集團(越南),60,地產建築,6020,建築,602010,建築材料
367,莊士機構,60,地產建築,6010,地產,601020,地產發展商
368,德合集團,60,地產建築,6020,建築,602020,建築及服務
369,永泰地產,60,地產建築,6010,地產,601030,地產投資
370,國華,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
371,北控水務集團,40,公用事業,4000,公用事業,400030,水務
372,保德國際發展,50,金融,5030,其他金融,503020,資產管理
373,聯合集團,50,金融,5030,其他金融,503030,信貸
374,四洲集團,25,必需性消費,2510,食品飲料,251010,包裝食品
375,YGM貿易,23,非必需性消費,2330,紡織及服飾,233020,服裝
376,雲鋒金融,50,金融,5020,保險,502010,保險
377,中國華君,10,工業,1030,工業支援,103010,採購及供應鏈管理
379,恒嘉融資租賃,50,金融,5030,其他金融,503030,信貸
380,中國管業,60,地產建築,6020,建築,602010,建築材料
381,僑雄國際,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
382,中滙集團,23,非必需性消費,2360,支援服務,236010,教育
383,中國醫療網絡,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
384,中國燃氣,40,公用事業,4000,公用事業,400020,燃氣
385,建聯集團,60,地產建築,6020,建築,602020,建築及服務
386,中國石油化工股份,0,能源,10,石油及天然氣,1010,油氣生產商
387,力豐集團,10,工業,1010,工業工程,101020,工業零件及器材
388,香港交易所,50,金融,5030,其他金融,503040,其他金融
389,通天酒業,25,必需性消費,2510,食品飲料,251040,酒料飲料
390,中國中鐵,60,地產建築,6020,建築,602030,重型基建
391,美亞娛樂資訊,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
392,北京控股,40,公用事業,4000,公用事業,400020,燃氣
393,旭日企業,23,非必需性消費,2330,紡織及服飾,233020,服裝
396,興利(香港)控股,23,非必需性消費,2320,家庭電器及用品,232040,家具
397,權威金融,50,金融,5030,其他金融,503030,信貸
398,東方表行,23,非必需性消費,2370,零售相關,237050,其他零售
399,領航醫藥生物科技,25,必需性消費,2530,消費零售,253020,個人護理
400,硬蛋創新,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
401,萬嘉集團,28,醫療保健,2810,藥品及生物科技,281010,藥品
403,星光集團,10,工業,1030,工業支援,103020,印刷及包裝
406,有利集團,60,地產建築,6020,建築,602020,建築及服務
408,葉氏化工,5,原材料,530,其他原材料,53040,特殊化工用品
410,SOHO中國,60,地產建築,6010,地產,601030,地產投資
411,南順香港,25,必需性消費,2520,農產品,252020,農產品相關
412,山高控股,50,金融,5030,其他金融,503030,信貸
413,南華集團控股,23,非必需性消費,2320,家庭電器及用品,232030,玩具及消閒用品
416,錦州銀行,50,金融,5010,銀行,501010,銀行
417,謝瑞麟,23,非必需性消費,2370,零售相關,237050,其他零售
418,方正控股,70,資訊科技,7020,軟件服務,702030,軟件開發
419,華誼騰訊娛樂,23,非必需性消費,2340,旅遊及休閒設施,234070,休閒及文娛設施
420,福田實業,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
422,越南製造加工出口,23,非必需性消費,2310,汽車,231010,汽車
423,經濟日報集團,23,非必需性消費,2350,媒體及娛樂,235040,出版
425,敏實集團,23,非必需性消費,2310,汽車,231020,汽車零件
426,萬華媒體,23,非必需性消費,2350,媒體及娛樂,235040,出版
428,中國天弓控股,50,金融,5030,其他金融,503020,資產管理
430,東方興業控股,50,金融,5030,其他金融,503020,資產管理
431,大中華金融,50,金融,5030,其他金融,503030,信貸
432,盈大地產,60,地產建築,6010,地產,601020,地產發展商
433,北方礦業,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
434,博雅互動,70,資訊科技,7020,軟件服務,702030,軟件開發
436,新宇環保,10,工業,1010,工業工程,101030,環保工程
438,彩虹新能源,10,工業,1010,工業工程,101050,新能源物料
439,光啟科學,10,工業,1010,工業工程,101025,電子零件
440,大新金融,50,金融,5010,銀行,501010,銀行
442,域能控股,23,非必需性消費,2330,紡織及服飾,233040,珠寶鐘錶
444,SINCEREWATCH HK,23,非必需性消費,2370,零售相關,237050,其他零售
450,鴻興印刷,10,工業,1030,工業支援,103020,印刷及包裝
451,協鑫新能源,40,公用事業,4000,公用事業,400040,環保能源
455,天大藥業,28,醫療保健,2810,藥品及生物科技,281010,藥品
456,新城市建設發展,60,地產建築,6010,地產,601030,地產投資
458,聯亞集團,23,非必需性消費,2330,紡織及服飾,233020,服裝
459,鋑聯控股,60,地產建築,6010,地產,601010,地產代理
460,四環醫藥,28,醫療保健,2810,藥品及生物科技,281010,藥品
464,中國海外諾信,23,非必需性消費,2320,家庭電器及用品,232010,家庭電器
465,富通科技,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
467,聯合能源集團,0,能源,10,石油及天然氣,1010,油氣生產商
468,紛美包裝,10,工業,1030,工業支援,103020,印刷及包裝
471,中播數據,35,電訊,3500,電訊,350010,衛星及無綫通訊
472,新絲路文旅,25,必需性消費,2510,食品飲料,251040,酒料飲料
474,信銘生命科技,10,工業,1010,工業工程,101040,重型機械
475,中發展控股,10,工業,1010,工業工程,101050,新能源物料
476,科軒動力控股,10,工業,1010,工業工程,101010,商用車及貨車
479,華建控股,23,非必需性消費,2310,汽車,231010,汽車
480,香港興業,60,地產建築,6010,地產,601020,地產發展商
482,聖馬丁國際,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
483,包浩斯國際,23,非必需性消費,2370,零售相關,237020,服裝零售
484,雲遊控股,70,資訊科技,7020,軟件服務,702030,軟件開發
485,中國華星,23,非必需性消費,2320,家庭電器及用品,232020,消費電子產品
486,俄鋁,5,原材料,520,一般金屬及礦石,52030,鋁
487,實德環球,23,非必需性消費,2340,旅遊及休閒設施,234050,旅遊及觀光
488,麗新發展,80,綜合企業,8000,綜合企業,800010,綜合企業
489,東風集團股份,10,工業,1010,工業工程,101010,商用車及貨車
491,英皇文化產業,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
493,國美零售,23,非必需性消費,2370,零售相關,237030,家居裝修零售
495,百利大,60,地產建築,6010,地產,601030,地產投資
496,卡森國際,60,地產建築,6010,地產,601020,地產發展商
497,資本策略地產,60,地產建築,6010,地產,601020,地產發展商
498,藍河控股,60,地產建築,6020,建築,602020,建築及服務
499,青島控股,60,地產建築,6010,地產,601030,地產投資
500,先豐服務集團,10,工業,1020,工業運輸,102030,航空貨運及物流
503,朗生醫藥,28,醫療保健,2810,藥品及生物科技,281010,藥品
